id,nr,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,bass,meter,cord
000106b_,34,0,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,35,0,0,1,0,0,1,0,0,0,0,1,0,Bb,5,BbM
000106b_,36,0,0,1,0,0,1,0,1,0,0,1,0,Bb,2,BbM
000106b_,37,1,0,0,0,1,0,0,0,0,1,0,0,C,3,A_m
000106b_,38,1,0,0,0,1,0,0,1,0,1,0,0,C,2,A_m
000106b_,39,0,0,1,0,0,1,0,0,0,1,1,0,D,4,C_M7
000106b_,40,1,0,0,0,1,0,0,1,0,0,1,0,E,2,C_M7
000106b_,41,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,42,1,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,43,1,0,0,0,0,1,0,1,0,0,0,0,C,5,C_M4
000106b_,44,1,0,0,0,0,1,0,1,0,1,0,0,C,2,C_M4
000106b_,45,1,0,0,0,0,1,0,1,0,1,0,0,C,1,C_M4
000106b_,46,1,0,0,0,1,0,0,1,0,0,1,0,C,3,C_M7
000106b_,47,1,0,0,0,1,0,0,1,0,0,1,0,C,2,C_M7
000106b_,48,1,0,0,0,1,0,0,1,0,0,1,0,C,1,C_M7
000106b_,49,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000106b_,50,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,51,1,0,0,0,1,0,0,1,0,0,0,0,E,5,C_M
000106b_,52,1,0,0,0,1,0,0,1,0,0,0,0,E,2,C_M
000106b_,53,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,54,1,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,55,0,0,1,0,0,1,0,0,0,1,0,0,D,4,D_m
000106b_,56,0,0,1,0,0,1,0,0,0,1,0,0,D,2,D_m
000106b_,57,1,0,0,0,0,1,0,0,0,1,0,0,A,3,F_M
000106b_,58,1,0,0,0,0,1,0,0,0,1,0,0,A,2,F_M
000106b_,59,0,0,1,0,0,1,0,0,0,0,1,0,Bb,5,BbM
000106b_,60,0,0,1,0,0,1,0,0,0,0,1,0,Bb,1,BbM
000106b_,61,1,0,1,0,0,1,0,0,0,1,1,0,C,2,BbM
000106b_,62,1,0,1,0,0,1,0,1,0,0,1,0,C,1,BbM
000106b_,63,0,0,1,0,0,1,0,0,0,0,1,0,D,3,BbM
000106b_,64,0,0,1,0,1,1,0,1,0,0,1,0,E,2,BbM
000106b_,65,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000106b_,66,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,67,0,0,1,0,0,1,0,0,0,0,1,0,Bb,5,BbM
000106b_,68,0,0,1,0,0,1,0,1,0,0,1,0,Bb,2,BbM
000106b_,69,0,0,1,0,0,1,0,0,0,1,1,0,Bb,1,BbM
000106b_,70,0,0,0,0,1,0,0,1,0,1,1,0,A,3,C_M7
000106b_,71,1,0,0,0,1,0,0,1,0,0,1,0,G,2,C_M7
000106b_,72,0,0,0,0,1,0,0,1,0,0,1,0,G,1,C_M7
000106b_,73,1,0,0,0,0,1,0,0,0,1,0,0,A,4,F_M
000106b_,74,0,0,1,0,0,1,0,1,0,0,0,1,B,2,F_M
000106b_,75,1,0,0,0,1,0,0,1,0,0,0,0,C,3,C_M
000106b_,76,1,0,0,0,1,0,0,1,0,0,0,0,C,2,C_M
000106b_,77,1,0,1,0,0,1,0,0,0,1,0,0,F,5,D_m7
000106b_,78,0,0,1,0,1,1,0,0,0,1,0,1,F,2,D_m7
000106b_,79,0,0,1,0,1,1,0,0,0,1,0,0,F,1,D_m7
000106b_,80,0,0,1,0,0,0,0,1,0,0,0,1,G,3,G_M
000106b_,81,1,0,0,0,1,0,0,1,0,0,0,0,C,4,C_M
000106b_,82,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,83,0,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,84,0,0,1,0,0,1,0,0,0,0,1,0,Bb,5,BbM
000106b_,85,0,0,1,0,0,1,0,1,0,0,1,0,Bb,2,BbM
000106b_,86,1,0,0,0,1,0,0,0,0,1,0,0,C,3,A_m
000106b_,87,1,0,0,0,1,0,0,1,0,1,0,0,C,2,A_m
000106b_,88,0,0,1,0,0,1,0,0,0,1,1,0,D,4,C_M7
000106b_,89,1,0,0,0,1,0,0,1,0,0,1,0,E,2,C_M7
000106b_,90,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,91,1,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,92,1,0,0,0,0,1,0,1,0,0,0,0,C,5,C_M4
000106b_,93,1,0,0,0,0,1,0,1,0,1,0,0,C,2,C_M4
000106b_,94,1,0,0,0,0,1,0,1,0,1,0,0,C,1,C_M4
000106b_,95,1,0,0,0,1,0,0,1,0,0,1,0,C,3,C_M7
000106b_,96,1,0,0,0,1,0,0,1,0,0,1,0,C,2,C_M7
000106b_,97,1,0,0,0,1,0,0,1,0,0,1,0,C,1,C_M7
000106b_,98,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000106b_,99,1,0,0,0,1,0,0,1,0,0,0,0,E,5,C_M
000106b_,100,1,0,0,0,1,0,0,1,0,0,0,0,E,2,C_M
000106b_,101,1,0,0,0,1,0,0,1,0,0,0,0,E,1,C_M
000106b_,102,1,0,0,0,1,0,0,1,0,0,0,0,E,3,C_M
000106b_,103,1,0,0,0,1,0,0,1,0,0,0,0,E,1,C_M
000106b_,104,1,0,0,0,1,0,0,1,0,0,0,0,E,2,C_M
000106b_,105,1,0,0,0,1,0,0,1,0,0,0,0,E,1,C_M
000106b_,106,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000106b_,107,1,0,0,0,0,1,0,1,0,0,0,0,C,5,C_M4
000106b_,108,1,0,0,0,0,1,0,0,0,0,0,0,C,1,C_M4
000106b_,109,1,0,0,0,1,0,0,1,0,0,0,0,C,2,C_M4
000106b_,110,1,0,1,0,0,0,0,0,0,1,0,0,C,1,C_M4
000106b_,111,1,0,0,0,1,0,0,1,0,0,0,0,C,3,C_M
000106b_,112,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000106b_,113,1,0,0,0,0,1,0,0,0,1,0,0,F,5,F_M
000106b_,114,1,0,0,0,0,1,0,1,0,1,0,0,G,2,F_M
000106b_,115,1,0,0,0,0,1,0,0,0,1,0,0,A,3,F_M
000106b_,116,1,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,117,1,0,0,0,1,0,0,1,0,0,0,0,C,4,C_M
000106b_,118,1,0,1,0,1,0,0,1,0,0,1,0,D,2,C_M
000106b_,119,1,0,1,0,1,0,0,1,0,1,0,0,D,1,C_M
000106b_,120,1,0,0,0,1,0,0,1,0,0,1,0,E,3,C_M7
000106b_,121,1,0,0,0,1,0,0,1,0,0,0,0,C,2,C_M7
000106b_,122,1,0,0,0,1,0,0,1,0,0,1,0,C,1,C_M7
000106b_,123,1,0,0,0,0,1,0,0,0,1,0,0,F,5,F_M
000106b_,124,1,0,0,0,0,1,0,1,0,1,0,0,G,2,F_M
000106b_,125,1,0,0,0,0,1,0,0,0,1,0,0,A,3,F_M
000106b_,126,1,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,127,1,0,0,0,1,0,0,1,0,0,0,0,C,4,C_M
000106b_,128,1,0,0,0,1,0,0,1,0,0,0,0,C,2,C_M
000106b_,129,1,0,0,0,0,1,0,0,0,1,1,0,Bb,3,F_M
000106b_,130,1,0,0,0,0,1,0,0,0,1,0,0,A,2,F_M
000106b_,131,0,0,1,0,0,0,0,1,0,0,1,0,C,5,G_m
000106b_,132,0,0,1,0,0,1,0,1,0,0,1,0,C,2,G_m
000106b_,133,0,0,1,0,1,0,0,1,0,0,1,0,C,1,G_m
000106b_,134,0,0,1,0,0,1,0,0,0,1,0,0,D,3,D_m
000106b_,135,1,0,1,0,1,1,0,0,0,1,0,0,C,2,D_m
000106b_,136,0,0,1,0,0,1,0,1,0,0,1,0,Bb,4,G_m
000106b_,137,0,0,1,0,0,1,0,1,0,0,1,0,Bb,2,G_m
000106b_,138,1,0,0,0,1,0,0,1,0,0,0,0,C,3,C_M
000106b_,139,1,0,0,0,1,0,0,1,0,0,0,0,C,2,C_M
000106b_,140,1,0,0,0,1,0,0,1,0,0,0,0,C,1,C_M
000106b_,141,1,0,0,0,0,1,0,0,0,1,0,0,F,5,F_M
000106b_,142,0,0,1,0,0,1,0,0,0,1,0,0,D,4,D_m
000106b_,143,0,0,1,0,0,1,0,1,0,1,0,0,D,1,D_m
000106b_,144,0,0,1,0,0,1,0,0,0,1,0,0,F,2,D_m
000106b_,145,0,0,1,0,0,1,0,0,0,1,1,0,F,1,D_m
000106b_,146,1,0,0,0,1,0,0,0,0,1,0,0,A,3,A_m
000106b_,147,1,0,0,0,1,0,0,1,0,1,0,0,A,2,A_m
000106b_,148,1,0,1,0,0,1,0,0,0,0,1,0,Bb,5,BbM
000106b_,149,0,0,1,0,0,1,0,0,0,0,1,0,D,2,BbM
000106b_,150,1,0,0,0,0,1,0,0,0,0,1,0,F,3,F_M
000106b_,151,1,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,152,0,0,0,0,0,1,0,1,0,1,1,0,G,4,C_M7
000106b_,153,0,0,0,0,1,0,0,1,0,0,1,0,G,2,C_M7
000106b_,154,1,0,0,0,0,0,0,1,0,1,0,0,A,3,F_M
000106b_,155,0,0,1,0,0,1,0,0,0,1,0,0,D,2,F_M
000106b_,156,0,0,1,0,0,1,0,1,0,0,0,1,B,5,G_M7
000106b_,157,0,0,1,0,0,1,0,1,0,0,0,1,B,2,G_M7
000106b_,158,1,0,0,0,1,0,0,1,0,0,0,0,C,3,C_M
000106b_,159,1,0,0,0,1,1,0,1,0,0,0,0,C,1,C_M
000106b_,160,1,0,0,0,1,0,0,1,0,0,0,0,C,2,C_M
000106b_,161,1,0,0,0,1,0,0,1,0,0,0,0,C,1,C_M
000106b_,162,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000206b_,1,0,0,1,0,0,0,1,0,0,1,0,0,D,3,D_M
000206b_,2,0,0,1,0,0,0,0,1,0,0,1,0,G,5,G_m
000206b_,3,1,0,0,0,0,0,1,0,0,1,0,0,A,3,F#d
000206b_,4,0,0,1,0,0,0,0,1,0,0,1,0,Bb,4,G_m
000206b_,5,0,0,1,0,0,0,0,1,0,1,1,0,A,3,G_m
000206b_,6,0,0,1,0,0,0,0,1,0,0,1,0,G,2,G_m
000206b_,7,0,0,1,0,0,0,1,0,0,1,0,0,F#,5,D_M
000206b_,8,1,0,1,0,0,0,1,0,0,1,0,0,F#,2,D_M
000206b_,9,0,0,1,0,0,0,0,1,0,0,1,0,G,3,G_m
000206b_,10,0,0,1,0,0,0,1,0,0,1,0,0,D,4,D_M
000206b_,11,1,0,0,1,0,0,0,0,1,0,0,0,C,3,AbM
000206b_,12,0,1,0,0,1,0,0,1,0,0,1,0,C#,5,C#d7
000206b_,13,0,0,1,0,0,0,1,0,0,1,0,0,D,3,D_M
000206b_,14,1,0,1,0,0,0,1,0,0,1,0,0,D,2,D_M
000206b_,15,0,1,0,0,1,0,0,1,0,0,1,0,E,4,C#d7
000206b_,16,1,0,1,0,0,0,1,0,0,1,0,0,F#,3,D_M7
000206b_,17,0,0,1,0,0,0,0,1,0,0,1,0,G,5,G_m
000206b_,18,0,0,1,0,0,0,1,0,0,1,0,0,D,3,D_M
000206b_,19,0,0,1,0,0,0,0,0,0,1,0,0,D,1,D_M
000206b_,20,1,0,1,0,0,0,0,0,0,1,0,0,D,2,D_M
000206b_,21,0,0,1,0,0,0,0,1,0,0,1,0,G,4,G_m
000206b_,22,0,0,1,0,0,0,1,0,0,1,0,0,D,3,D_M
000206b_,23,0,0,1,0,0,0,0,1,0,0,1,0,G,5,G_m
000206b_,24,1,0,0,0,0,0,1,0,0,1,0,0,A,3,F#d
000206b_,25,0,0,1,0,0,0,0,1,0,0,1,0,Bb,4,G_m
000206b_,26,0,0,1,0,0,0,0,1,0,1,1,0,A,3,G_m
000206b_,27,0,0,1,0,0,0,0,1,0,0,1,0,G,2,G_m
000206b_,28,0,0,1,0,0,0,1,0,0,1,0,0,F#,5,D_M
000206b_,29,1,0,1,0,0,0,1,0,0,1,0,0,F#,2,D_M
000206b_,30,0,0,1,0,0,0,0,1,0,0,1,0,G,3,G_m
000206b_,31,0,0,1,0,0,0,1,0,0,1,0,0,D,4,D_M
000206b_,32,1,0,0,1,0,0,0,0,1,0,0,0,C,3,AbM
000206b_,33,0,1,0,0,1,0,0,1,0,0,1,0,C#,5,C#d7
000206b_,34,0,0,1,0,0,0,1,0,0,1,0,0,D,3,D_M
000206b_,35,1,0,1,0,0,0,1,0,0,1,0,0,D,2,D_M
000206b_,36,0,1,0,0,1,0,0,1,0,0,1,0,E,4,C#d7
000206b_,37,1,0,1,0,0,0,1,0,0,1,0,0,F#,3,D_M7
000206b_,38,0,0,1,0,0,0,0,1,0,0,1,0,G,5,G_m
000206b_,39,0,0,1,0,0,0,1,0,0,1,0,0,D,3,D_M
000206b_,40,0,0,1,0,0,0,0,0,0,1,0,0,D,1,D_M
000206b_,41,1,0,1,0,0,0,0,0,0,1,0,0,D,2,D_M
000206b_,42,0,0,1,0,0,0,0,1,0,0,1,0,G,4,G_m
000206b_,43,0,0,1,0,0,0,0,1,0,0,1,0,G,3,G_m
000206b_,44,0,1,0,0,1,0,0,0,0,1,0,0,C#,5,A_M
000206b_,45,0,0,1,0,0,1,0,0,0,1,0,0,D,3,D_m
000206b_,46,0,1,0,0,1,0,0,0,0,1,0,0,A,4,A_M
000206b_,47,0,1,0,0,1,0,0,1,0,1,0,0,G,2,A_M
000206b_,48,0,0,1,0,0,1,0,0,0,1,0,0,F,3,D_m
000206b_,49,0,0,1,0,1,0,0,0,0,1,0,0,E,2,D_m
000206b_,50,0,0,1,0,0,1,0,0,0,1,0,0,D,5,D_m
000206b_,51,1,0,1,0,0,1,0,0,0,1,0,0,C,2,D_m
000206b_,52,0,0,1,0,0,0,0,1,0,0,1,0,Bb,3,G_m
000206b_,53,0,1,0,0,1,0,0,0,0,1,0,0,A,4,A_M
000206b_,54,0,0,1,0,0,1,0,0,0,1,0,0,D,3,D_m
000206b_,55,1,0,1,0,0,1,0,0,0,1,0,0,D,2,D_m
000206b_,56,0,0,0,1,0,0,0,1,0,0,1,0,Eb,5,EbM
000206b_,57,1,0,0,1,0,0,0,1,0,1,0,0,Eb,2,EbM
000206b_,58,0,0,1,0,0,1,0,0,0,0,1,0,D,3,BbM
000206b_,59,0,0,1,0,1,0,0,1,0,0,1,0,E,2,BbM
000206b_,60,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000206b_,61,1,0,0,1,0,0,0,1,0,1,0,0,Eb,2,F_M7
000206b_,62,0,0,1,0,0,0,1,0,0,0,1,0,D,3,D_M7
000206b_,63,1,0,1,0,0,0,1,0,0,0,1,0,C,2,D_M7
000206b_,64,0,0,1,0,0,0,0,1,0,0,1,0,Bb,5,G_m
000206b_,65,1,0,0,1,0,0,0,1,0,0,0,0,C,2,C_m
000206b_,66,0,0,1,0,0,0,1,0,0,1,0,0,D,3,D_M
000206b_,67,0,0,1,0,0,0,0,1,0,0,1,0,G,4,G_m
000206b_,68,0,0,1,0,0,0,0,1,0,0,1,0,G,3,G_m
000206b_,69,0,0,1,0,0,0,1,0,0,1,0,0,F#,5,D_M
000206b_,70,0,0,1,0,0,0,0,1,0,0,1,0,G,3,G_m
000206b_,71,0,0,1,0,0,1,0,1,0,0,1,0,F,2,G_m
000206b_,72,1,0,0,1,0,0,0,1,0,0,0,0,Eb,4,C_m
000206b_,73,1,0,1,1,0,0,0,1,0,0,0,0,D,2,C_m
000206b_,74,1,0,1,0,0,1,0,1,0,0,0,0,C,3,G_M7
000206b_,75,0,0,1,0,0,1,0,1,0,0,0,1,B,2,G_M7
000206b_,76,1,0,0,1,0,0,0,1,0,0,0,0,C,5,C_m
000206b_,77,0,0,1,0,0,0,0,1,0,0,1,0,G,3,G_m
000206b_,78,0,1,0,0,0,0,0,1,0,1,0,0,A,4,A_M
000206b_,79,0,0,1,0,0,1,0,0,0,1,0,0,A,2,D_m
000206b_,80,0,0,1,0,1,0,0,0,0,1,0,0,A,3,A_M4
000206b_,81,0,1,0,0,1,0,0,0,0,1,0,0,A,2,A_M
000206b_,82,0,0,1,0,0,0,1,0,0,1,0,0,D,5,D_M
000306b_,1,0,1,0,0,0,0,0,0,0,1,0,0,A,3,A_M
000306b_,2,0,0,1,0,0,0,0,0,0,1,0,1,A,2,A_M
000306b_,3,0,1,0,0,1,0,0,0,0,1,0,0,A,5,A_M
000306b_,4,0,0,1,0,1,0,0,0,0,1,0,1,B,2,A_M
000306b_,5,0,1,0,0,1,0,0,0,0,1,0,0,C#,3,A_M
000306b_,6,0,0,1,0,0,0,1,0,0,1,0,0,D,4,D_M
000306b_,7,0,0,1,0,1,0,0,0,1,1,0,0,E,2,D_M
000306b_,8,0,1,0,0,0,0,1,0,0,1,0,0,F#,3,F#m
000306b_,9,0,1,0,0,1,0,0,0,1,1,0,0,E,2,F#m
000306b_,10,0,0,0,1,0,0,1,0,0,0,0,1,D#,5,B_M
000306b_,11,0,0,0,1,0,0,1,0,0,1,0,1,D#,2,B_M
000306b_,12,0,0,0,0,1,0,0,0,1,0,0,0,E,3,E_M
000306b_,13,0,0,0,0,1,0,0,0,1,1,0,0,E,2,E_M
000306b_,14,0,0,0,1,0,0,1,0,0,0,0,1,B,4,B_M
000306b_,15,0,0,0,1,0,0,1,0,0,0,0,1,B,3,B_M
000306b_,16,0,0,0,1,0,0,1,0,0,1,0,1,A,2,B_M
000306b_,17,0,0,0,0,1,0,0,0,1,0,0,1,G#,5,E_M
000306b_,18,0,0,0,0,1,0,0,0,1,1,0,1,A,2,E_M
000306b_,19,0,0,0,1,0,0,1,0,1,1,0,0,G#,3,D#d
000306b_,20,0,0,0,1,0,0,1,0,0,1,0,0,F#,2,D#d
000306b_,21,0,0,0,0,1,0,1,0,1,0,0,1,E,4,B_M
000306b_,22,0,0,0,1,0,0,1,0,0,1,0,1,F#,2,B_M
000306b_,23,0,0,0,0,1,0,0,0,1,0,0,1,G#,3,E_M
000306b_,24,0,1,0,0,1,0,1,0,0,1,0,0,A,2,E_M
000306b_,25,0,0,0,0,1,0,0,0,1,0,0,1,B,5,E_M
000306b_,26,0,0,0,0,0,0,1,0,0,1,0,1,B,2,E_M
000306b_,27,0,0,0,1,0,0,1,0,0,0,0,1,B,3,B_M
000306b_,28,0,0,0,1,0,0,1,0,0,1,0,1,B,2,B_M
000306b_,29,0,0,0,0,1,0,0,0,1,0,0,1,E,4,E_M
000306b_,30,0,0,0,0,1,0,0,0,1,0,0,1,E,3,E_M
000306b_,31,0,1,0,0,1,0,0,0,0,1,0,0,A,5,A_M
000306b_,32,0,1,0,0,0,0,1,0,1,1,0,0,G#,2,A_M
000306b_,33,0,1,0,0,0,0,1,0,1,0,0,0,F#,3,C#M
000306b_,34,0,1,0,0,0,1,0,0,1,0,0,0,F,2,C#M
000306b_,35,0,1,0,0,0,0,1,0,0,1,0,0,F#,4,F#m
000306b_,36,0,0,1,0,1,0,0,0,1,0,0,1,E,2,F#m7
000306b_,37,0,1,1,0,1,0,0,0,0,0,1,0,D,3,A#d
000306b_,38,0,1,0,0,1,0,0,0,0,0,1,0,C#,2,A#d
000306b_,39,0,0,1,0,0,0,1,0,0,0,0,1,B,5,B_m
000306b_,40,0,0,1,0,0,0,0,0,1,0,0,1,B,2,B_m
000306b_,41,0,1,0,0,1,0,0,0,0,1,0,0,C#,3,A_M
000306b_,42,0,1,1,0,0,0,1,0,0,1,0,0,D,2,A_M
000306b_,43,0,0,0,0,1,0,0,0,1,0,0,1,E,4,E_M
000306b_,44,0,1,0,0,0,0,1,0,0,1,0,0,F#,3,F#m
000306b_,45,0,0,0,0,1,0,0,0,1,0,0,1,G#,5,E_M
000306b_,46,0,0,1,0,0,0,0,0,1,0,0,1,G#,2,E_M
000306b_,47,0,1,0,0,1,0,0,0,0,1,0,0,A,3,A_M
000306b_,48,0,1,0,1,0,0,1,0,0,1,0,0,A,2,A_M
000306b_,49,0,0,0,0,1,0,0,0,1,0,0,1,E,4,E_M
000306b_,50,0,0,1,0,1,0,0,0,1,0,0,1,E,2,E_M
000306b_,51,0,1,0,0,0,0,1,0,0,1,0,0,F#,3,F#m
000306b_,52,0,1,0,0,1,0,0,0,0,1,0,0,E,2,F#m
000306b_,53,0,0,0,1,0,0,1,0,0,1,0,1,D#,5,B_M
000306b_,54,0,1,0,1,0,0,1,0,0,1,0,0,D#,2,B_M
000306b_,55,0,0,1,0,1,0,0,0,1,0,0,0,E,3,E_M7
000306b_,56,0,1,0,0,1,0,0,0,0,1,0,0,A,4,A_M
000408b_,1,0,0,0,0,1,0,0,1,0,0,0,1,E,3,E_m
000408b_,2,0,0,1,0,1,0,0,1,0,0,0,1,E,2,E_m
000408b_,3,0,1,0,0,0,0,1,0,0,0,1,0,F#,5,F#M
000408b_,4,0,1,0,0,1,0,1,0,0,0,1,0,E,2,F#M
000408b_,5,0,0,1,0,0,0,1,0,0,0,0,1,D,3,B_m
000408b_,6,0,1,0,0,0,0,1,0,0,0,1,0,C#,2,F#M
000408b_,7,0,0,1,0,0,0,1,0,0,0,0,1,B,4,B_m
000408b_,8,0,1,0,0,1,0,1,0,0,0,1,0,A#,3,F#M7
000408b_,9,0,0,1,0,0,0,1,0,0,0,0,1,B,5,B_m
000408b_,10,0,1,0,0,0,0,1,0,0,0,1,0,F#,3,F#M
000408b_,11,0,1,0,0,1,0,1,0,0,0,1,0,F#,2,F#M
000408b_,12,0,0,0,1,0,0,1,0,0,0,0,1,B,4,B_M
000408b_,13,0,0,0,1,0,0,1,0,0,0,0,1,D#,3,B_M
000408b_,14,0,0,0,0,1,0,0,1,0,0,0,1,E,5,E_m
000408b_,15,1,0,0,0,1,0,0,1,0,0,0,0,E,2,E_m
000408b_,16,0,0,1,0,0,0,1,0,0,1,0,1,F#,3,D_M
000408b_,17,0,0,1,0,0,0,1,0,0,1,0,0,F#,2,D_M
000408b_,18,0,0,1,0,0,0,0,1,0,0,0,1,G,4,G_M
000408b_,19,0,0,0,1,0,0,1,0,0,1,0,1,F#,2,B_M7
000408b_,20,0,0,0,0,1,0,0,0,0,1,0,1,E,3,E_m
000408b_,21,0,0,0,0,1,0,0,1,0,0,0,1,E,2,E_m
000408b_,22,1,0,0,0,1,0,1,0,0,1,0,0,A,5,A_m6
000408b_,23,1,0,0,0,1,0,0,0,0,0,0,1,B,2,A_m6
000408b_,24,1,0,0,0,1,0,0,0,0,0,0,0,C,1,A_m6
000408b_,25,0,0,0,1,0,0,1,0,0,0,0,1,B,3,B_M
000408b_,26,0,0,0,1,0,0,1,0,0,1,0,1,B,2,B_M
000408b_,27,0,0,0,0,1,0,0,1,0,0,0,1,E,4,E_m
000408b_,28,0,0,0,0,1,0,0,1,0,0,0,1,E,3,E_m
000408b_,29,0,0,1,0,1,0,0,1,0,0,0,1,E,2,E_m
000408b_,30,0,1,0,0,0,0,1,0,0,0,1,0,F#,5,F#M
000408b_,31,0,1,0,0,1,0,1,0,0,0,1,0,E,2,F#M
000408b_,32,0,0,1,0,0,0,1,0,0,0,0,1,D,3,B_m
000408b_,33,0,1,0,0,0,0,1,0,0,0,1,0,C#,2,F#M
000408b_,34,0,0,1,0,0,0,1,0,0,0,0,1,B,4,B_m
000408b_,35,0,1,0,0,1,0,1,0,0,0,1,0,A#,3,F#M7
000408b_,36,0,0,1,0,0,0,1,0,0,0,0,1,B,5,B_m
000408b_,37,0,1,0,0,0,0,1,0,0,0,1,0,F#,3,F#M
000408b_,38,0,1,0,0,1,0,1,0,0,0,1,0,F#,2,F#M
000408b_,39,0,0,0,1,0,0,1,0,0,0,0,1,B,4,B_M
000408b_,40,0,0,0,1,0,0,1,0,0,0,0,1,D#,3,B_M
000408b_,41,0,0,0,0,1,0,0,1,0,0,0,1,E,5,E_m
000408b_,42,1,0,0,0,1,0,0,1,0,0,0,0,E,2,E_m
000408b_,43,0,0,1,0,0,0,1,0,0,1,0,1,F#,3,D_M
000408b_,44,0,0,1,0,0,0,1,0,0,1,0,0,F#,2,D_M
000408b_,45,0,0,1,0,0,0,0,1,0,0,0,1,G,4,G_M
000408b_,46,0,0,0,1,0,0,1,0,0,1,0,1,F#,2,B_M7
000408b_,47,0,0,0,0,1,0,0,0,0,1,0,1,E,3,E_m
000408b_,48,0,0,0,0,1,0,0,1,0,0,0,1,E,2,E_m
000408b_,49,1,0,0,0,1,0,1,0,0,1,0,0,A,5,A_m6
000408b_,50,1,0,0,0,1,0,0,0,0,0,0,1,B,2,A_m6
000408b_,51,1,0,0,0,1,0,0,0,0,0,0,0,C,1,A_m6
000408b_,52,0,0,0,1,0,0,1,0,0,0,0,1,B,3,B_M
